City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
238,Severo-Kurilsk,50.6789,156.125,285.32,68,4,2.72,RU,2021-09-16 23:47:50,clear sky
239,Pochutla,15.7432,-96.4661,299.16,85,100,0.4,MX,2021-09-16 23:54:08,overcast clouds
240,Qurayyat,31.3318,37.3428,294.25,73,0,5.14,SA,2021-09-16 23:54:09,clear sky
241,Zyryanka,65.75,150.85,285.96,53,37,6.8,RU,2021-09-16 23:48:16,scattered clouds
242,Changtu,42.7788,124.0955,290.32,82,76,3.33,CN,2021-09-16 23:54:09,broken clouds
243,Fukue,32.6881,128.8419,298.35,100,75,15.43,JP,2021-09-16 23:47:53,moderate rain
244,Fernley,39.608,-119.2518,304.29,13,0,1.34,US,2021-09-16 23:44:12,clear sky
245,Los+Llanos+De+Aridane,28.6585,-17.9182,295.01,72,90,5.14,ES,2021-09-16 23:46:16,overcast clouds
246,Mitchell,43.7094,-98.0298,302.1,46,2,1.79,US,2021-09-16 23:54:10,clear sky
247,Saint+Anthony,45.0205,-93.218,303.94,49,1,4.47,US,2021-09-16 23:45:39,clear sky
248,Boyabat,41.4689,34.7667,285.77,84,100,1.71,TR,2021-09-16 23:54:11,overcast clouds
249,Esperance,-33.8667,121.9,281.06,77,99,8.02,AU,2021-09-16 23:54:03,overcast clouds
250,Itarema,-2.9248,-39.9167,299.31,86,0,6.68,BR,2021-09-16 23:54:12,clear sky
251,Gazli,40.1333,63.45,297.18,20,0,4.81,UZ,2021-09-16 23:54:12,clear sky
252,Nivala,63.9167,24.9667,276.86,92,94,1.97,FI,2021-09-16 23:54:13,overcast clouds
253,Bumba,2.1833,22.4667,294.19,95,100,1.57,CD,2021-09-16 23:54:13,overcast clouds
254,Katsuura,35.1333,140.3,295.17,73,100,3.89,JP,2021-09-16 23:49:59,overcast clouds
255,Leh,34.1667,77.5833,284.64,34,0,2.51,IN,2021-09-16 23:44:54,clear sky
256,Norman+Wells,65.282,-126.8329,287.17,51,40,6.17,CA,2021-09-16 23:41:49,scattered clouds
257,Prattville,32.464,-86.4597,299.13,84,90,2.57,US,2021-09-16 23:54:14,overcast clouds
